galaxy,n_points,chi2_per_n,scale_factor,chi2_scaled_per_n,max_radius_kpc,max_velocity_kms
NGC5371,13,,0.952786404500042,,6.0,57.81
UGC07603,12,,0.952786404500042,,2.89,17.87
NGC4138,7,3.860656669244238,0.8000062422946661,2.371108034141263,21.0,23.38
UGC12632,15,,0.952786404500042,,7.55,31.41
NGC5033,22,90.86443927697478,0.8000062422946661,58.08842472641786,16.0,58.35
UGC02023,5,39.37111509313023,0.8000062422946661,24.678171347139024,8.69,19.48
UGC09133,65,38.541287698400396,0.8000062422946661,24.611025962278525,20.3,54.96
UGCA442,8,,0.952786404500042,,3.12,22.82
UGC04305,20,,0.952786404500042,,5.29,27.3
NGC2841,41,0.6399935918471031,0.8000062422946661,0.35030029554522735,23.4,68.98
NGC2955,22,31.551485689676678,0.8000062422946661,20.134817715770975,15.7,79.95
UGC07232,4,33.633598500639245,0.8000062422946661,20.98011340878787,3.3,12.77
NGC4157,17,5.617744144138418,0.8000062422946661,3.5223747494920254,13.6,52.27
NGC4183,23,,0.952786404500042,,11.5,41.81
UGC07125,13,,0.952786404500042,,3.48,39.0
UGC03205,25,0.5021188613373396,0.8000062422946661,0.28533418019998646,18.2,55.53
F583-1,12,,0.952786404500042,,15.5,39.55
NGC4068,6,64.61209488820491,0.8000062422946661,40.65955489502756,4.97,19.86
UGC02885,14,0.43962353241463387,0.8000062422946661,0.21020334720307712,10.0,86.26
D564-8,6,,0.952786404500042,,2.05,7.05
NGC4013,35,0.9256375490925292,0.8000062422946661,0.5269589636289198,10.0,32.98
UGC07323,8,9.863274574462451,0.8000062422946661,6.148673639278837,3.87,28.72
NGC3953,5,0.3822850621612577,0.8000062422946661,0.22435161613363258,9.7,37.5
NGC4559,29,,0.952786404500042,,8.4,52.11
NGC6015,31,,0.952786404500042,,9.4,48.44
UGC05253,65,111.2810849918984,0.8000062422946661,71.12955967428512,18.3,47.82
UGC12506,31,,0.952786404500042,,26.500000000000004,82.59
NGC2998,12,20.63958662144679,0.8000062422946661,13.180993991024367,17.0,66.04
UGC00731,12,,0.952786404500042,,3.43,36.0
F583-4,12,,0.952786404500042,,7.89,15.33
UGC06614,6,5.808098531648924,0.8000062422946661,3.3527381135128973,23.2,61.29
NGC0024,29,,0.952786404500042,,11.2,26.32
DDO168,10,,0.952786404500042,,4.1,22.95
UGC05750,11,,0.952786404500042,,12.2,36.96
UGC05005,11,,0.952786404500042,,28.4,39.02
NGC3893,10,,0.952786404500042,,13.5,48.28
UGC12732,14,,0.952786404500042,,4.31,43.4
UGC06818,8,12.46652515813987,0.8000062422946661,7.640249697789175,6.0,20.91
IC4202,25,693.6589951534156,0.8000062422946661,443.69450865354645,22.1,61.24
UGC00128,22,,0.952786404500042,,18.8,45.1
D631-7,16,,0.952786404500042,,4.07,20.73
F568-V1,11,,0.952786404500042,,26.4,36.03
UGC06667,7,25.574018273069374,0.8000062422946661,14.93512397005686,3.9,25.65
UGC05918,8,,0.952786404500042,,3.93,15.66
UGC00634,4,,0.952786404500042,,4.15,39.28
UGC02487,13,0.4124329635984324,0.8000062422946661,0.22743267464086478,15.3,46.48
UGC05999,5,,0.952786404500042,,5.0,46.95
F568-1,8,19.895630406237792,0.8000062422946661,12.080699104374483,24.8,47.41
NGC2976,27,107.78794101658026,0.8000062422946661,68.63615528005688,5.5,30.15
NGC3917,14,1.252877402239663,0.8000062422946661,0.7260052622402721,7.5,32.87
F571-V1,7,,0.952786404500042,,10.0,30.81
NGC3972,9,2.5324741450087283,0.8000062422946661,1.535556697253024,6.6,30.6
NGC0801,13,,0.952786404500042,,8.8,66.89
NGC6946,58,831.3660489988061,0.8000062422946661,531.9676079207441,21.0,46.53
F563-V2,10,121.06309401792291,0.8000062422946661,76.2437253338239,51.9,39.57
UGC02953,46,0.3374791370604081,0.8000062422946661,0.19052608017766492,7.43,34.91
NGC7331,29,0.1686525195211467,0.8000062422946661,0.0876417307605478,9.0,64.56
NGC5907,16,,0.952786404500042,,7.0,64.96
NGC3726,10,,0.952786404500042,,15.2,53.13
NGC3198,34,,0.952786404500042,,15.4,48.93
NGC0891,11,0.15982341616532006,0.8000062422946661,0.08307296038416313,4.47,49.33
NGC0100,16,8.082295607065095,0.8000062422946661,4.869721802773483,13.7,21.63
NGC4217,19,1874.5063387663026,0.8000062422946661,1198.695368980591,12.0,33.95
UGC09992,5,35.34570907508364,0.8000062422946661,21.532974170932345,5.66,17.55
UGC06786,40,7.9327183010562905,0.8000062422946661,5.031652799925548,11.4,35.84
D512-2,4,35.77160413981299,0.8000062422946661,22.261153539058526,5.98,8.09
UGC06917,9,2.6783522095631715,0.8000062422946661,1.527458055385538,6.0,36.86
ESO563-G021,19,0.46372103930177755,0.8000062422946661,0.26311299805478755,20.4,63.33
NGC4100,24,,0.952786404500042,,10.5,38.9
NGC3877,10,1.6087232059748122,0.8000062422946661,0.9904226663506085,7.3,30.28
UGC00191,9,,0.952786404500042,,7.5,33.72
NGC3741,21,,0.952786404500042,,3.24,13.86
NGC0247,26,5.222936257897734,0.8000062422946661,3.0302673377246943,9.4,37.01
F563-1,17,,0.952786404500042,,25.3,35.34
F574-2,3,18.494420936044037,0.8000062422946661,10.984796687628213,8.0,28.17
UGC06399,9,,0.952786404500042,,6.5,25.86
UGC11820,9,,0.952786404500042,,7.91,35.7
F568-3,18,25.150945191170717,0.8000062422946661,15.756292968024837,15.6,39.0
UGC07524,27,,0.952786404500042,,5.46,34.56
UGC02259,8,,0.952786404500042,,3.4,26.68
UGC05721,23,,0.952786404500042,,19.2,24.78
UGC05716,12,,0.952786404500042,,4.06,29.43
UGC07151,8,2.663258819165713,0.8000062422946661,1.4803907742680504,3.41,28.3
UGC04483,8,,0.952786404500042,,2.79,12.36
NGC1003,36,,0.952786404500042,,7.6,37.45
UGC03546,20,7.362767939871832,0.8000062422946661,4.678095419998067,26.0,34.96
NGC0055,21,,0.952786404500042,,7.3,40.44
NGC1090,17,,0.952786404500042,,7.35,52.53
UGC06973,9,5.688442293300427,0.8000062422946661,3.6107857239889154,10.1,33.19
F574-1,14,14.6576892786655,0.8000062422946661,9.189544773478342,6.28,30.02
NGC3769,12,,0.952786404500042,,15.2,36.96
NGC2403,71,,0.952786404500042,,8.39,46.95
UGC03580,39,5.098510453273375,0.8000062422946661,3.1660198320143857,11.7,40.18
ESO444-G084,7,,0.952786404500042,,7.36,20.09
NGC6789,4,123.83245811252424,0.8000062422946661,77.87076591609312,9.4,11.87
UGC11557,10,28.111938061283972,0.8000062422946661,17.860833032104225,8.6,35.45
UGC08490,30,,0.952786404500042,,3.69,25.04
UGC01230,11,,0.952786404500042,,15.8,46.59
UGC08550,11,,0.952786404500042,,2.7,22.04
F561-1,6,13.362286850499276,0.8000062422946661,8.180558597258862,10.0,29.26
UGC07559,7,,0.952786404500042,,3.23,16.45
NGC4389,6,16.982461612686716,0.8000062422946661,10.802136783811969,7.6,21.98
NGC2915,30,,0.952786404500042,,13.4,19.9
NGC5055,28,,0.952786404500042,,17.6,47.26
UGC07399,10,8.619249835332802,0.8000062422946661,5.0478170235086814,4.97,25.55
F565-V2,7,88.02609115040353,0.8000062422946661,54.02655906929988,10.0,27.11
NGC3992,8,,0.952786404500042,,8.6,52.31
NGC6503,31,,0.952786404500042,,10.0,28.74
PGC51017,6,,0.952786404500042,,4.17,14.2
NGC1705,14,,0.952786404500042,,10.5,17.38
ESO079-G014,15,21.644175894426116,0.8000062422946661,13.766442164175333,11.8,40.49
F563-V1,6,49.78910976068439,0.8000062422946661,30.60561329271712,5.0,20.17
NGC6195,17,1.4463782226704935,0.8000062422946661,0.8792678721897097,15.4,69.27
DDO161,31,,0.952786404500042,,7.58,33.38
UGC07577,7,,0.952786404500042,,3.17,9.12
UGC04499,8,,0.952786404500042,,3.02,32.26
NGC5005,18,1277.8658361268344,0.8000062422946661,815.0272110829635,40.1,75.6
UGC10310,7,,0.952786404500042,,5.06,30.9
