name,distance,n_points,total_mass,mean_f_gas,r_max,chi2_standard,mean_res_standard,chi2_overhead,mean_res_overhead,chi2_screening,mean_res_screening,chi2_recognition,mean_res_recognition,chi2_xi_screening,mean_res_xi_screening
NGC5371,39.7,19,17691319979734.227,0.02511503753908424,46.24,134.03025693990608,-0.09917945698501857,146.4800071703171,-0.10162401728294582,614.6450187531668,1.0026085106321951,133.64644551796042,-0.10264489051597299,138.04946906205532,-0.10142309818500843
UGC07603,4.7,12,2868318238.347281,0.21667351697198034,4.11,86.576857212427,0.7527005605108541,94.07759161932145,0.7431609143188466,303.1103298671882,8.04707987718409,78.51556206987452,0.7429518467473256,86.12510961114086,0.7483351725106582
NGC4138,18.0,7,885638326293.8354,0.024302945471260058,18.58,4.8344187698668755,0.12992535579478398,5.771062979858454,0.1268461905369113,124.41872268976975,1.7906532368607284,4.12000148126765,0.12438285834657913,4.818130701230274,0.12711109151003594
UGC12632,9.77,15,44933370544.76989,0.2849912842701308,10.66,90.46298445890628,0.8425628375364914,95.78807801808088,0.8316981697895847,279.2036465257521,5.6859259085608524,83.4430994301943,0.8328977850034163,89.93219613889129,0.8379736328076218
NGC5033,15.7,22,5950015181041.678,0.08108091634033511,44.59,381.59619177457785,0.2541961163614202,393.4766748189894,0.24971133790448335,1792.3673947018203,1.5357168126407854,357.8242250257053,0.2494454298882367,377.0541577276042,0.25107233538045187
UGC02023,10.4,5,5697334761.589957,0.11990428403095676,3.78,1.2951789076879072,0.07172464012384122,1.687851385992748,0.06740812300102793,17.49733007344675,4.409306134254942,1.0146314946055681,0.06564327167207384,1.280908411652091,0.06905533426012472
UGC09133,57.1,68,38207284553975.77,0.05078736594916393,108.31,883.7879420447084,0.1626145334945724,886.606838595414,0.15884469387785852,2417.2851185803725,1.7186277160724208,866.480710076699,0.15816989194861047,877.6591285109389,0.1597188514552563
UGCA442,4.35,8,3663639609.811716,0.6828316833428516,6.33,562.3482215031307,1.1493904213513884,646.9083473816685,1.1261523077711793,1161.8478225845915,9.18562473306362,488.9841667052673,1.1374004360475098,560.6012977754007,1.1440370122383288
UGC04305,3.45,22,10365956418.41004,0.23047807715546398,5.52,2.45214479432608,-0.09639923599755608,2.7561003679169875,-0.1010509486587694,46.103670417938595,3.553789529161426,2.4548007250495574,-0.10144964729827444,2.509320151837334,-0.0986498017935722
NGC2841,14.1,50,16567065957793.809,0.08068170552727252,63.64,418.3198699016008,0.4226417485832687,421.77498591427803,0.4174231382823313,1115.2235016281347,1.7507742042149166,406.25156070133414,0.4173722483467458,415.2324042446571,0.4190984261482984
NGC2955,97.9,24,13374883229748.557,0.03229829316028212,35.43,60.266878811765714,-0.09783714718127816,64.63082774554299,-0.10039961430729975,543.5407484164657,1.5383653131404296,60.839391102645614,-0.10209111133742728,61.851367347933085,-0.1000841316238286
NGC4157,18.0,17,3609244644475.6704,0.0628330808834788,29.61,22.541477059891307,0.0027759727427276006,24.321785113915777,-0.0005122040851650937,156.81394531504216,1.139017139979991,21.82719775324727,-0.0015170533389527124,22.8344510465775,0.0002783948352840401
NGC4183,18.0,23,383774580927.88464,0.19420042203757013,21.02,36.34748343058916,0.4542732787914656,37.24771533852149,0.4471284688956371,182.42527010814206,2.952743034178117,34.04405723183805,0.4469888067889016,35.96381136592823,0.4506511728463456
UGC07125,19.8,13,151785409857.7034,0.37182984744626607,18.68,39.58475465532607,0.2833051562148791,41.36594550702459,0.27409080603651814,288.38514794496217,2.3949019928101096,35.521714746065214,0.2769900244090512,39.02640718215395,0.28010887439940624
UGC03205,50.0,48,5381935696878.327,0.028771998817328014,40.04,168.59312973379227,0.11707430372688536,168.5154295885947,0.11390744272243043,1152.3969234232152,2.2900762802503674,161.28372963150082,0.11171275612822436,166.07656469930168,0.11429204709350173
F583-1,35.4,25,114080643627.28038,0.1845007680655152,16.26,37.748979970789456,1.0969175647075757,39.0656644520178,1.0869032919651087,88.58077566125321,8.33556199981035,35.96001468759488,1.0853988017476204,37.60311922758609,1.0916948478438884
NGC4068,4.37,6,1142860050.2394235,0.1976120179533748,2.33,5.445130931015961,0.031164474378400992,6.4573022697162274,0.025729619245635067,134.12058282782635,6.2656490598226995,4.373525707654758,0.02465120006078914,5.3383226868258244,0.028596190254975076
UGC02885,80.6,19,42944695206440.46,0.08450534731277871,74.07,50.77662074636707,0.26461551152535434,52.74691088939211,0.2600605959303632,210.51813912177968,1.1349905413750891,47.54905843535969,0.260707521133502,50.19437002381388,0.26146577933307086
D564-8,8.79,6,236792616.0134821,0.3495698003219654,3.07,34.21693745530486,0.841442063396201,42.16408952460564,0.8286906317464012,117.18179782997898,9.350336542446968,28.208223671164138,0.8308837664151637,34.046141690185095,0.8368556501390142
NGC4013,18.0,36,2655610291688.6147,0.03855388214605233,31.01,61.32814733434678,0.1969839120631412,62.83702597681709,0.19349745398905824,406.91890858260984,1.2363959599112475,59.62702003882394,0.19204711531959395,61.1662830649919,0.19400262745362123
UGC07323,8.0,10,35667552952.05022,0.06870560700234238,5.82,7.9402641187821565,0.13065959926959314,8.605405311243064,0.1269205784427307,176.11509668708763,4.213927094176673,6.818855644077511,0.1244684783968982,7.758100936736259,0.12784350623113422
NGC3953,18.0,8,2815369519429.6235,0.009061167536977315,15.68,9.867561597111315,-0.07498520976392502,12.210098533676437,-0.07730348708381825,410.06624384865205,1.3834974794432977,9.700889302469035,-0.07955977885896706,10.469702372307726,-0.07728911070187147
NGC4559,9.0,32,706489702743.2009,0.1555357839692958,20.97,25.474373755113298,0.1474494782707613,25.543252613475108,0.14215218368216515,239.73326809196448,1.9776619733464114,24.04705106601395,0.14174402243184742,25.137164306404678,0.1445915672869169
NGC6015,17.0,44,1260545704509.949,0.11523433093044386,29.23,110.53877825917034,0.344629571981254,110.70459981871643,0.3391119768889499,1623.9528401210782,2.776814984076436,105.26463064344738,0.3383813099801408,108.99412295059514,0.34128055165771126
UGC05253,22.9,73,11124677552575.08,0.01561050749696332,53.29,169.47306082960455,-0.004856586273262247,173.69088609216215,-0.007510147845661754,3011.820001056944,2.9387806156865177,171.97532989951088,-0.009793255206763262,171.63240145297513,-0.0073351540415583375
UGC12506,100.6,31,11835527327515.682,0.1308093348854143,49.99,35.69054985501159,0.5756406403974909,36.32069791594928,0.5693120824911012,117.33966581779876,2.5609133943070588,34.040148207801316,0.5694281985845064,35.33540858523875,0.5717162491471065
NGC2998,68.1,13,8756549723581.777,0.061938631888424585,42.28,167.42741825997305,0.23836597768455534,177.34374268734703,0.2344146631180172,932.1874673985927,4.008884025035477,151.27678966694373,0.23226137189935103,164.47379132223958,0.23528162425840063
UGC00731,12.5,12,39915954362.23617,0.5964093211873518,10.91,189.96781822764208,1.6371223953910494,205.6867862646324,1.6137511431737277,408.36690928244735,9.211850796470062,172.889746668125,1.6230337301907316,189.29438782799954,1.6305542098610963
F583-4,53.3,12,19778332839.85356,0.06168100467556579,7.29,19.02688145045019,0.535893914138544,20.670114029558135,0.5310194825315095,97.0593056095639,6.866612537390587,17.123666631469842,0.526961865710098,18.855740582499717,0.532068518624093
UGC06614,88.7,13,11826890164942.889,0.05639750894853102,64.59,17.44788167694468,0.17669261867388977,18.96634369866639,0.17272346858927723,83.78152420938657,1.1085286724443995,16.23211985413885,0.17241131736210816,17.453619313828614,0.17376187285614392
NGC0024,7.3,29,59788559214.41422,0.05628278221943432,11.27,56.738759181125225,0.5266208730128035,58.278199525412305,0.5217184451102891,185.58160122104178,7.937277154626114,54.15114230040273,0.5172749525016281,56.424570638823376,0.5228185735270565
DDO168,4.25,10,3097707656.159926,0.6382753520684287,4.12,138.78930986793046,0.5742025970364697,151.71337338384234,0.5581085792467475,653.621568273543,7.155319041807109,123.17042981603109,0.5653730980130964,137.8285972450535,0.5702817874687606
UGC05750,58.7,11,251409532801.4877,0.20228606485851716,22.85,8.620098510014236,0.42508989413286946,9.416504645881199,0.41775810711859035,36.01622189707406,4.087475404155918,7.714239446990388,0.41782507674321434,8.551401478717915,0.42154047419017554
UGC05005,53.7,11,416540520960.6882,0.29439720418061743,28.61,11.788790749400457,0.5577384290280303,12.851819412546744,0.5471435733290404,31.577951958483528,3.1349627729288945,10.611948738563786,0.5503525804801476,11.721565979925861,0.5538586261690978
NGC3893,18.0,10,1367728242065.3767,0.06249739650766839,19.05,18.595761697129213,0.07005248951877725,21.026714030090105,0.06657216649854628,272.81036820998065,1.7517337024423807,17.01723253259226,0.06480496227393957,18.745778225317242,0.0673873484201954
UGC12732,13.2,16,132418903431.89215,0.3501937700429765,15.4,131.67795137996927,0.9435781564292156,138.76081378449882,0.9302270291351489,332.06197117734104,4.844932619120303,122.21543152430776,0.9336887762422289,131.02081165615309,0.9387373564930039
UGC06818,18.0,8,18627349127.903305,0.10751088138520358,6.98,15.279669272900653,0.27252680514359323,17.60481991184313,0.2673603388152763,79.9770302155844,3.85654243811439,13.209146079241927,0.2658275896876331,15.185231254448485,0.2693573685779529
